resource_id,uid,resource_title,resource_content,resource_linkage,resource_post_time,avg_stars
1,3,Intro to database: the almighty book,A through introduction of how modern database works and how it’s constructed,,4/8/22 1:38:40 PM,4.35
2,3,Appendix to the previous book,Appendix,,4/8/2022 1:40:00 PM,3.25
3,3,My notes on learning a new (natural) language,Per described,,4/8/2022 5:00:00 PM,4.8
4,4,Learn Japanese,A kid friendly introduction,https://www.amazon.com/Lets-Learn-Japanese-Ebook-Downloadable-ebook/dp/B01LR7TNSO,4/9/2022 8:30:00 AM,2.5
5,5,French Grammar,For the intermediate speakers,https://brittlebooks.library.illinois.edu/brittlebooks_open/Books2009-04/breyhe0001fregra/breyhe0001fregra.pdf,4/11/2022 7:32:00 PM,4.8
6,10,Practice makes perfect,Complete French grammar,https://ddotb.files.wordpress.com/2013/07/practice-makes-perfect-complete-french-grammar.pdf,4/11/2022 8:15:10 PM,1.5
7,10,Introduction to linguistics,For the beginners,https://linguistics.ucla.edu/people/Kracht/courses/ling20-fall07/ling-intro.pdf,4/12/2022 3:45:00 PM,3.5
8,7,Notes,Personal notes of the elementary Chinese class,,4/13/2022 4:37:20 PM,5.0
9,7,Notes,Personal notes of the elementary Korean class,,4/13/2022 4:40:11 PM,5.0
10,7,Notes,Personal notes of the elementary Spanish class,,4/13/2022 4:44:33 PM,5.0
